customer id,Credit history,Purpose,Credit amount,Installment rate ,guarantors,Other installment plans,Number of existing credits ,liable to provide maintenance 
KN-670560,critical account,business,1887,4,none,Bank,2,1
TB-1152089,delay in paying off in the past,business,8648,2,none,Bank,2,1
GM-1444091,delay in paying off in the past, New Car,802,4,none,none,2,1
AB-10523,delay in paying off in the past, New Car,2899,4,none,none,1,2
JB-1540051,existing credits paid back duly till now,radio/television,2039,1,none,none,1,1
JS-1603097,critical account,Used Car,2197,4,none,none,2,2
AM-10705102,existing credits paid back duly till now,radio/television,1053,4,none,none,1,1
SF-2020039,existing credits paid back duly till now,radio/television,3235,3,none,none,1,1
JF-1529531,critical account, New Car,939,4,none,none,3,1
KH-16510102,existing credits paid back duly till now,radio/television,1967,4,none,none,1,1
DL-1333058,critical account,Used Car,7253,3,none,none,2,1
KN-163907,critical account,business,2292,4,none,stores,2,1
SV-2093527,existing credits paid back duly till now, New Car,1597,3,none,none,1,2
MD-178607,existing credits paid back duly till now, New Car,1381,4,none,none,1,1
LS-1720045,critical account,Used Car,5842,2,none,none,2,2
JM-1586582,existing credits paid back duly till now, New Car,2579,4,none,none,1,2
CM-124457,delay in paying off in the past,education,8471,1,none,none,2,1
SS-20140104,existing credits paid back duly till now, New Car,2782,1,none,Bank,1,1
BW-1111058,existing credits paid back duly till now, New Car,1042,4,none,none,1,1
JE-1561058,existing credits paid back duly till now, New Car,3186,2,none,none,1,1
GH-1442527,existing credits paid back duly till now,Used Car,2028,4,none,none,1,1
JK-1609058,critical account, New Car,958,2,none,none,2,2
SM-2032036,delay in paying off in the past,furniture/equipment,1591,4,none,none,2,1
GR-1456082,existing credits paid back duly till now,furniture/equipment,2762,1,none,Bank,1,1
AB-101051406,existing credits paid back duly till now,Used Car,2779,1,none,none,1,1
DH-367577,critical account,radio/television,2743,4,none,none,2,1
MM-8280108,critical account,radio/television,1149,4,none,none,2,1
PM-913560,existing credits paid back duly till now,furniture/equipment,1313,1,none,none,1,1
GH-144257,critical account,repairs,1190,2,none,none,3,2
JM-1586597,existing credits paid back duly till now,business,3448,1,none,none,1,1
CM-1211564,existing credits paid back duly till now,Others,11328,2,co-applicant,Bank,2,1
SC-2084527,critical account,furniture/equipment,1872,4,none,none,3,1
GP-474086,critical account,repairs,2058,4,none,none,2,1
AF-1087014,existing credits paid back duly till now,furniture/equipment,2136,3,none,none,1,1
TS-2150545,existing credits paid back duly till now,radio/television,1484,2,none,none,1,1
CR-1273028,existing credits paid back duly till now,repairs,660,2,none,none,1,1
BM-115757,critical account, New Car,1287,4,none,none,2,1
AH-100308,critical account,repairs,3394,4,co-applicant,none,2,1
AG-1049527,all credits at this bank paid back duly,business,609,4,none,none,1,1
BN-11470139,existing credits paid back duly till now, New Car,1884,4,none,none,1,1
AG-6758,existing credits paid back duly till now,furniture/equipment,1620,2,co-applicant,none,1,1
SW-2075545,delay in paying off in the past,Others,2629,2,none,Bank,2,1
SK-1999045,existing credits paid back duly till now,education,719,4,none,Bank,1,2
MP-18175144,critical account,furniture/equipment,5096,2,none,none,1,1
AG-1090082,critical account,education,1244,4,none,none,2,1
AJ-96086,existing credits paid back duly till now, New Car,1842,4,none,none,1,1
MC-7275137,existing credits paid back duly till now,radio/television,2576,2,guarantor,none,1,1
EJ-13720113,existing credits paid back duly till now,furniture/equipment,1424,3,none,none,1,1
MS-1736539,delay in paying off in the past,repairs,1512,3,none,stores,2,1
DH-13675139,critical account,Used Car,11054,4,none,none,1,1
HE-1480018,existing credits paid back duly till now,radio/television,518,3,none,none,1,1
SB-2017027,all credits paid back duly,furniture/equipment,2759,2,none,none,2,1
VT-2170092,existing credits paid back duly till now,Used Car,2670,4,none,none,1,1
BC-1112592,existing credits paid back duly till now, New Car,4817,2,co-applicant,none,1,1
NF-1859527,existing credits paid back duly till now,Used Car,2679,4,none,none,1,1
AH-101201404,critical account, New Car,3905,2,none,none,2,2
RB-19330120,existing credits paid back duly till now,Used Car,3386,3,none,none,1,1
CS-11950124,existing credits paid back duly till now,domestic appliances,343,4,none,none,1,1
BW-11110120,existing credits paid back duly till now,radio/television,4594,3,none,none,1,1
LW-1682558,existing credits paid back duly till now,furniture/equipment,3620,1,guarantor,none,1,2
RD-19585120,existing credits paid back duly till now, New Car,1721,2,none,none,1,1
BT-1168066,existing credits paid back duly till now,furniture/equipment,3017,3,none,none,1,1
AH-101201402,existing credits paid back duly till now,retraining,754,4,none,none,2,1
AH-101201408,existing credits paid back duly till now,business,1950,4,none,stores,2,1
TB-2117564,existing credits paid back duly till now,Used Car,2924,3,guarantor,Bank,1,2
MD-7860137,delay in paying off in the past,radio/television,1659,4,none,none,1,1
JH-1618059,delay in paying off in the past,radio/television,7238,3,none,Bank,2,2
CC-1214548,delay in paying off in the past,business,2764,2,none,none,2,1
XP-2186539,delay in paying off in the past,Used Car,4679,3,none,none,2,1
TS-2137058,existing credits paid back duly till now,radio/television,3092,3,none,none,1,1
ML-1741031,existing credits paid back duly till now,education,448,4,none,none,1,1
BS-1166545,existing credits paid back duly till now, New Car,654,4,none,none,1,1
CA-1196548,existing credits paid back duly till now,retraining,1238,4,none,none,1,2
QJ-1925527,critical account,radio/television,1245,4,none,none,1,1
RE-1945036,all credits paid back duly,furniture/equipment,3114,1,none,none,1,1
CP-2085117,existing credits paid back duly till now,Used Car,2569,4,none,none,1,1
JK-5730108,existing credits paid back duly till now,radio/television,5152,4,none,Bank,1,1
HZ-1495045,existing credits paid back duly till now,business,1037,3,none,none,1,1
AR-105707,critical account,furniture/equipment,1478,4,none,none,2,2
EH-14005120,critical account,radio/television,3573,1,none,none,1,1
JR-1570058,existing credits paid back duly till now, New Car,1201,4,none,none,1,1
PL-1892588,existing credits paid back duly till now,furniture/equipment,3622,4,none,none,2,1
TC-2114582,delay in paying off in the past,furniture/equipment,960,3,none,none,2,1
DG-1330082,critical account, New Car,1163,4,none,none,1,1
LW-1699045,delay in paying off in the past, New Car,1209,4,none,none,1,1
Dl-1360045,existing credits paid back duly till now,radio/television,3077,2,none,none,1,1
SC-2009545,existing credits paid back duly till now, New Car,3757,4,co-applicant,none,1,1
EB-1393059,existing credits paid back duly till now, New Car,1418,3,none,none,1,1
SM-2000518,existing credits paid back duly till now, New Car,3518,2,guarantor,none,1,1
JR-1567048,critical account,radio/television,1934,2,none,none,2,1
CM-1216027,all credits paid back duly,business,8318,2,none,none,2,1
DL-129257,critical account,radio/television,1237,1,none,none,2,1
FM-1429065,existing credits paid back duly till now,radio/television,368,4,none,none,1,1
DP-1316558,critical account, New Car,2122,3,none,none,2,2
CK-1259592,existing credits paid back duly till now,furniture/equipment,2996,2,none,none,1,1
GM-1444027,existing credits paid back duly till now,furniture/equipment,9034,4,co-applicant,none,1,1
CM-1183045,critical account,furniture/equipment,1585,4,none,none,2,1
MM-1726027,existing credits paid back duly till now,radio/television,1301,4,guarantor,none,1,1
ME-17320139,critical account, New Car,1323,2,none,none,2,2
CS-1249082,existing credits paid back duly till now, New Car,3123,4,none,none,1,1
GH-14410120,existing credits paid back duly till now,Used Car,5493,2,none,none,1,2
MC-1763536,existing credits paid back duly till now,radio/television,1126,2,none,none,1,1
VT-2170018,critical account,radio/television,1216,4,none,Bank,2,2
SJ-2021527,existing credits paid back duly till now, New Car,1207,4,none,none,1,1
CD-1192027,existing credits paid back duly till now, New Car,1309,4,guarantor,none,1,1
TA-21385102,critical account,Used Car,2360,2,none,none,1,1
DJ-88887148,all credits at this bank paid back duly, New Car,6850,1,none,none,1,2
LM-7065105,existing credits paid back duly till now,radio/television,1413,4,none,none,1,1
AR-1051064,existing credits paid back duly till now,Used Car,8588,4,none,none,1,1
JH-1591066,existing credits paid back duly till now, New Car,759,4,none,none,1,1
PC-1900078,existing credits paid back duly till now,Used Car,4686,2,none,none,1,1
CM-12235139,existing credits paid back duly till now,business,2687,2,none,none,1,1
DK-337533,delay in paying off in the past,radio/television,585,4,co-applicant,none,2,1
EG-1390045,existing credits paid back duly till now, New Car,2255,4,none,none,1,1
AH-100757,critical account, New Car,609,4,none,none,2,1
AS-1063092,critical account, New Car,1361,2,none,none,1,2
CL-1189018,critical account,furniture/equipment,7127,2,none,none,2,1
CA-12265139,existing credits paid back duly till now, New Car,1203,3,none,none,1,1
DB-1297045,critical account,radio/television,700,4,none,none,2,1
PC-1900048,critical account,repairs,5507,3,none,none,2,1
VS-218207,existing credits paid back duly till now,radio/television,3190,2,none,none,1,1
AS-101351406,all credits paid back duly,furniture/equipment,7119,3,none,none,2,2
AS-13523,existing credits paid back duly till now,Used Car,3488,3,none,none,1,1
JR-1567027,existing credits paid back duly till now,radio/television,1113,4,guarantor,none,1,2
MF-1766527,existing credits paid back duly till now,Used Car,7966,2,none,none,2,1
EB-13930139,critical account,education,1532,4,none,none,1,1
EB-1397518,critical account,radio/television,1503,2,none,none,2,2
AS-101351404,existing credits paid back duly till now,radio/television,2302,4,none,none,1,1
MV-1748545,existing credits paid back duly till now, New Car,662,3,none,none,1,2
JW-1595545,existing credits paid back duly till now,education,2273,3,none,none,2,2
LA-1678027,existing credits paid back duly till now, New Car,2631,2,none,none,2,1
FM-1421564,delay in paying off in the past,Used Car,1503,4,none,none,1,1
AB-101501406,existing credits paid back duly till now,radio/television,1311,4,none,none,1,1
MC-1757518,existing credits paid back duly till now,radio/television,3105,4,none,none,2,1
MC-1763582,critical account,education,2319,2,none,none,1,1
JF-541586,existing credits paid back duly till now, New Car,1374,4,none,none,1,1
AH-1021018,critical account,furniture/equipment,3612,3,none,none,1,1
PO-1919527,existing credits paid back duly till now, New Car,7763,4,none,Bank,1,1
BM-1178527,existing credits paid back duly till now,furniture/equipment,3049,1,none,stores,1,1
KD-1634558,existing credits paid back duly till now,radio/television,1534,1,none,none,1,1
TS-21610139,delay in paying off in the past, New Car,2032,4,none,none,2,1
AR-1051027,existing credits paid back duly till now,furniture/equipment,6350,4,none,none,1,1
PG-1889582,existing credits paid back duly till now,furniture/equipment,2864,2,none,none,1,2
LC-1705051,critical account, New Car,1255,4,none,none,2,1
DJ-1342045,delay in paying off in the past, New Car,1333,4,none,none,2,2
HK-1489045,critical account, New Car,2022,4,none,none,1,1
HH-5010129,existing credits paid back duly till now,radio/television,1552,3,none,Bank,1,2
RR-193157,all credits at this bank paid back duly,radio/television,626,4,none,Bank,1,1
SH-2063548,critical account,Used Car,8858,2,none,none,2,1
AB-101501402,critical account,repairs,996,4,none,none,2,1
DV-1346527,all credits at this bank paid back duly,radio/television,1750,2,none,Bank,1,2
RP-985586,existing credits paid back duly till now,radio/television,6999,1,guarantor,none,2,1
NF-1838582,critical account, New Car,1995,4,none,none,1,1
LR-1703548,existing credits paid back duly till now,education,1199,4,none,none,2,1
DR-1294058,existing credits paid back duly till now,radio/television,1331,2,none,stores,1,1
AF-1087048,all credits paid back duly, New Car,2278,3,none,none,2,1
IM-5055106,all credits paid back duly, New Car,5003,1,none,Bank,2,1
AS-285108,all credits at this bank paid back duly,furniture/equipment,3552,3,none,Bank,1,1
DK-1298539,critical account,furniture/equipment,1928,2,none,none,2,1
RW-1954096,existing credits paid back duly till now,Used Car,2964,4,none,Bank,1,2
EH-418561,all credits at this bank paid back duly,radio/television,1546,4,guarantor,Bank,1,1
ML-1739559,delay in paying off in the past,radio/television,683,2,none,Bank,1,1
BF-1121593,existing credits paid back duly till now, New Car,12389,1,none,none,1,1
MB-730533,delay in paying off in the past,business,4712,4,none,Bank,2,1
KN-164507,delay in paying off in the past,radio/television,1553,3,none,none,2,1
HR-14770102,existing credits paid back duly till now, New Car,1372,2,none,none,1,1
CK-1276045,critical account,radio/television,2578,2,none,none,1,1
PB-192107,existing credits paid back duly till now,radio/television,3979,4,none,none,2,2
AB-16523,existing credits paid back duly till now,radio/television,6758,3,none,none,1,1
AA-1048031,existing credits paid back duly till now,furniture/equipment,3234,4,none,none,1,1
RO-97803,critical account,radio/television,5954,3,co-applicant,none,1,1
AB-101651404,existing credits paid back duly till now,Used Car,5433,2,none,none,1,1
MR-175457,existing credits paid back duly till now,business,806,4,none,none,1,1
SP-2092064,existing credits paid back duly till now,radio/television,1082,4,none,none,2,1
AH-1046593,critical account,furniture/equipment,2788,2,co-applicant,Bank,2,1
AB-101651408,existing credits paid back duly till now,radio/television,2930,2,none,none,1,1
AH-105857,critical account,education,1927,3,none,none,2,1
CV-2805134,critical account, New Car,2820,4,none,none,2,1
JK-1532545,existing credits paid back duly till now,retraining,937,4,none,none,2,1
RB-943575,critical account, New Car,1056,3,guarantor,Bank,2,1
AG-52560,critical account, New Car,3124,1,none,Bank,2,2
AR-1034582,existing credits paid back duly till now,furniture/equipment,1388,4,none,none,1,1
MW-8220110,existing credits paid back duly till now,repairs,2384,4,none,none,1,1
AH-21038,existing credits paid back duly till now, New Car,2133,4,none,none,1,1
FC-142457,existing credits paid back duly till now,furniture/equipment,2039,1,none,Bank,1,1
ML-1741027,critical account, New Car,2799,2,none,none,2,2
TH-212357,existing credits paid back duly till now,furniture/equipment,1289,4,guarantor,none,1,1
AB-101651406,existing credits paid back duly till now,domestic appliances,1217,4,none,none,1,1
TW-2102527,critical account,furniture/equipment,2246,3,none,none,2,1
LT-7110117,critical account,radio/television,385,4,none,none,4,1
KN-16390139,delay in paying off in the past, New Car,1965,4,none,none,2,1
HD-1478548,existing credits paid back duly till now,business,1572,4,none,Bank,1,1
MC-7575110,existing credits paid back duly till now, New Car,2718,3,none,none,1,1
CS-1246058,all credits at this bank paid back duly,Others,1358,4,none,stores,1,1
ME-1732064,all credits at this bank paid back duly, New Car,931,1,none,stores,1,1
SW-2027564,existing credits paid back duly till now, New Car,1442,4,none,none,2,1
CR-1282051,all credits paid back duly,business,4241,1,none,none,3,1
HM-14860125,critical account, New Car,2775,2,none,Bank,2,1
CC-247587,delay in paying off in the past,business,3863,1,none,none,1,1
JM-1525045,existing credits paid back duly till now,radio/television,2329,1,guarantor,none,1,1
PS-18970118,existing credits paid back duly till now,furniture/equipment,918,4,none,none,1,1
CM-1219045,all credits at this bank paid back duly,education,1837,4,none,Bank,1,1
QJ-1925564,existing credits paid back duly till now,furniture/equipment,3349,4,none,none,1,1
TS-2150559,existing credits paid back duly till now,furniture/equipment,1275,4,none,none,1,1
AB-101651402,all credits at this bank paid back duly,furniture/equipment,2828,4,none,stores,1,1
KM-1672078,critical account,business,4526,3,none,none,1,1
SB-2018518,existing credits paid back duly till now,radio/television,2671,4,co-applicant,none,1,1
MT-1807045,existing credits paid back duly till now,radio/television,2051,4,none,none,1,1
JF-15415139,existing credits paid back duly till now,Used Car,1300,4,none,Bank,1,2
MT-807095,existing credits paid back duly till now,domestic appliances,741,4,none,none,1,1
ES-14020120,existing credits paid back duly till now, New Car,1240,1,none,none,1,2
AB-60042,existing credits paid back duly till now,radio/television,3357,4,none,Bank,1,1
PS-189707,all credits at this bank paid back duly,Used Car,3632,1,guarantor,Bank,1,1
EB-13975139,delay in paying off in the past,furniture/equipment,1808,4,none,none,1,1
AF-1087018,all credits paid back duly,business,12204,2,none,Bank,1,1
MC-1742559,delay in paying off in the past,radio/television,9157,2,none,none,1,1
CC-1268558,critical account, New Car,3676,1,none,none,3,2
EH-4125134,existing credits paid back duly till now,furniture/equipment,3441,2,co-applicant,none,1,1
BS-116657,existing credits paid back duly till now, New Car,640,4,none,none,1,1
IM-1507059,critical account,business,3652,2,none,none,2,1
SM-1032029,critical account, New Car,1530,3,none,Bank,2,1
DA-1345055,existing credits paid back duly till now,business,3914,4,none,Bank,1,1
DB-1306045,existing credits paid back duly till now,furniture/equipment,1858,4,none,none,1,1
LC-1688582,existing credits paid back duly till now,radio/television,2600,4,none,none,2,1
TC-2098045,existing credits paid back duly till now,radio/television,1979,4,none,none,1,1
SW-2035059,existing credits paid back duly till now,furniture/equipment,2116,2,none,none,1,1
JW-1522058,all credits at this bank paid back duly, New Car,1437,2,none,none,1,1
DA-1345031,critical account,furniture/equipment,4042,4,none,none,2,1
CM-1830117,existing credits paid back duly till now,education,3832,1,none,none,1,1
CS-1184527,existing credits paid back duly till now,radio/television,3660,2,none,none,1,1
MO-1780051,all credits at this bank paid back duly,furniture/equipment,1553,4,none,Bank,1,1
CR-1273018,existing credits paid back duly till now,radio/television,1444,4,none,none,1,1
MY-1738096,existing credits paid back duly till now,furniture/equipment,1980,2,co-applicant,none,2,1
MS-7830110,existing credits paid back duly till now, New Car,1355,3,none,none,1,1
SW-207557,existing credits paid back duly till now,education,1393,4,none,Bank,3,2
HG-1496597,existing credits paid back duly till now,radio/television,1376,4,none,none,1,1
DC-1328551,delay in paying off in the past,radio/television,15653,2,none,none,2,1
DL-13315139,existing credits paid back duly till now,radio/television,1493,4,none,none,1,2
TH-21235125,delay in paying off in the past,radio/television,4370,3,none,Bank,2,2
JK-15370100,existing credits paid back duly till now,education,750,4,none,none,1,1
CH-207060,existing credits paid back duly till now,repairs,1308,4,none,none,2,1
ST-205307,existing credits paid back duly till now,education,4623,3,none,none,1,1
SP-2092048,critical account,radio/television,1851,4,guarantor,none,2,1
MH-744033,critical account,radio/television,1880,4,none,none,2,1
MC-1784558,delay in paying off in the past,business,7980,4,none,none,2,1
PW-19030139,all credits paid back duly,furniture/equipment,4583,2,guarantor,none,2,1
BS-1159045,existing credits paid back duly till now, New Car,1386,2,none,none,1,1
AD-101801404,existing credits paid back duly till now, New Car,947,4,none,Bank,1,2
DO-1343558,existing credits paid back duly till now,education,684,4,none,none,1,2
SG-2089051,existing credits paid back duly till now,education,7476,4,none,none,1,1
JC-161057,existing credits paid back duly till now,furniture/equipment,1922,4,none,none,1,1
TB-2119058,existing credits paid back duly till now, New Car,2303,4,co-applicant,none,1,1
KD-1627059,delay in paying off in the past, New Car,8086,2,none,none,4,1
BM-1114059,critical account,Used Car,2346,4,none,none,2,1
SV-1078529,existing credits paid back duly till now, New Car,3973,1,none,none,1,1
AH-1003082,existing credits paid back duly till now, New Car,888,4,none,Bank,1,2
AD-101801402,existing credits paid back duly till now,radio/television,10222,4,none,stores,1,1
VP-21760120,all credits paid back duly,business,4221,2,none,none,2,1
EG-13900139,critical account,furniture/equipment,6361,2,none,none,1,1
TC-21145102,existing credits paid back duly till now,radio/television,1297,3,none,none,1,1
LR-1691558,existing credits paid back duly till now, New Car,900,4,none,none,1,1
AD-101801406,existing credits paid back duly till now,furniture/equipment,2241,4,none,none,2,1
TH-21550130,delay in paying off in the past,furniture/equipment,1050,4,none,stores,2,1
HD-1478527,critical account,education,1047,2,none,none,1,1
TP-2113027,critical account,Others,6314,4,co-applicant,Bank,2,1
TC-11145108,all credits at this bank paid back duly,furniture/equipment,3496,4,none,stores,1,2
JL-1523536,all credits at this bank paid back duly,business,3609,1,none,stores,1,1
RK-1930018,critical account, New Car,4843,3,co-applicant,none,2,1
CC-1267064,critical account,radio/television,3017,4,none,none,1,1
TC-2098058,critical account,business,4139,3,none,none,2,1
CM-123857,existing credits paid back duly till now,business,5742,2,none,none,2,1
BG-1103564,existing credits paid back duly till now, New Car,10366,2,none,none,1,1
MG-1789097,critical account, New Car,2080,1,none,none,1,1
MM-1726078,delay in paying off in the past,business,2580,4,none,Bank,1,2
TG-2164078,critical account,radio/television,4530,4,none,none,1,1
CC-1237011,critical account,furniture/equipment,5150,4,none,none,1,1
SC-2084582,existing credits paid back duly till now,radio/television,5595,2,none,none,1,1
PS-1904518,existing credits paid back duly till now,radio/television,2384,4,none,Bank,1,1
CB-1202559,existing credits paid back duly till now,radio/television,1453,3,none,none,1,1
BT-11395139,existing credits paid back duly till now,education,1538,1,none,none,1,1
SJ-2050051,existing credits paid back duly till now,radio/television,2279,4,none,none,1,1
MC-1784545,delay in paying off in the past,radio/television,1478,4,none,Bank,2,1
MG-1820518,critical account,radio/television,5103,3,none,none,3,1
RA-199157,delay in paying off in the past,business,9857,1,none,none,2,2
TT-11265103,existing credits paid back duly till now, New Car,6527,4,none,none,1,2
TH-1123561,critical account,radio/television,1347,4,none,none,2,1
DM-1301564,delay in paying off in the past, New Car,2862,4,none,none,1,1
VG-217905,existing credits paid back duly till now,radio/television,2753,3,co-applicant,none,1,1
JW-1595527,existing credits paid back duly till now, New Car,3651,1,none,none,1,2
ZC-2191058,critical account,furniture/equipment,975,2,none,none,2,1
NW-1840082,existing credits paid back duly till now,repairs,2631,3,none,none,1,1
VP-217307,existing credits paid back duly till now,radio/television,2896,2,none,none,1,1
SS-2041045,critical account, New Car,4716,1,none,none,2,2
AH-101951408,existing credits paid back duly till now,radio/television,2284,4,none,none,1,1
AG-27032,existing credits paid back duly till now,Used Car,1236,2,none,none,1,1
BW-1120045,existing credits paid back duly till now,radio/television,1103,4,guarantor,none,2,1
FM-1421545,critical account, New Car,926,1,none,none,1,1
AH-101951406,critical account,radio/television,1800,4,none,none,2,1
NL-1831027,existing credits paid back duly till now,education,1905,4,none,none,1,1
SC-1072524,existing credits paid back duly till now,furniture/equipment,1123,4,none,none,1,1
CA-1226592,critical account,Used Car,6331,4,none,none,2,1
AH-19523,existing credits paid back duly till now,radio/television,1377,4,none,none,1,1
AG-1052582,delay in paying off in the past,business,2503,4,none,stores,2,1
PL-1892527,existing credits paid back duly till now,business,2528,4,none,none,1,2
AB-1001545,existing credits paid back duly till now, New Car,5324,1,none,none,1,1
TS-2150527,existing credits paid back duly till now, New Car,6560,3,none,none,1,1
MG-1814558,all credits paid back duly,furniture/equipment,2969,4,none,none,2,1
AH-101951402,existing credits paid back duly till now,radio/television,1206,4,none,none,1,1
RD-1958514,existing credits paid back duly till now,radio/television,2118,2,none,none,1,2
BD-116057,critical account,radio/television,629,4,none,Bank,2,1
PB-191057,all credits at this bank paid back duly,education,1198,4,none,none,1,1
AB-10150120,existing credits paid back duly till now,Used Car,2476,4,none,none,1,1
GK-1462092,critical account,radio/television,1138,4,none,none,2,1
SC-2057582,existing credits paid back duly till now, New Car,14027,4,none,none,1,1
CC-1247566,critical account,Used Car,7596,1,none,none,2,1
DO-343515,critical account,radio/television,3077,3,none,none,2,2
NS-1850582,existing credits paid back duly till now,radio/television,1505,4,none,none,1,1
AH-102101406,critical account,radio/television,3148,3,none,none,2,1
TS-2143045,all credits paid back duly,Used Car,6148,3,none,Bank,2,1
AH-102101404,all credits paid back duly,radio/television,1337,4,none,none,2,1
AZ-1075093,all credits at this bank paid back duly,education,433,4,none,Bank,1,2
AH-102101408,existing credits paid back duly till now, New Car,1228,4,none,none,1,1
IG-1508545,existing credits paid back duly till now,radio/television,790,4,none,none,1,1
SP-2086045,existing credits paid back duly till now, New Car,2570,3,none,none,1,1
KM-162257,critical account, New Car,250,2,none,Bank,2,1
BS-1136518,critical account,radio/television,1316,2,none,none,2,1
TC-211457,existing credits paid back duly till now,radio/television,1882,4,none,Bank,2,1
KM-672060,all credits at this bank paid back duly,business,6416,4,none,none,1,1
GM-144407,critical account,business,1275,2,none,none,2,1
BF-1097527,delay in paying off in the past,radio/television,6403,1,none,none,1,1
MM-1805548,existing credits paid back duly till now,radio/television,1987,2,none,none,1,2
AH-102101402,existing credits paid back duly till now,radio/television,760,4,guarantor,none,1,1
RB-193607,existing credits paid back duly till now,Used Car,2603,2,none,none,1,1
NC-8415137,critical account, New Car,3380,1,none,none,1,2
GR-1456096,all credits at this bank paid back duly,domestic appliances,3990,3,none,Bank,1,1
SN-207107,existing credits paid back duly till now,Used Car,11560,1,none,none,2,1
DL-333061,existing credits paid back duly till now, New Car,4380,3,none,none,1,2
CJ-118757,critical account, New Car,6761,1,none,none,2,2
AY-10555139,all credits paid back duly,business,4280,4,none,none,2,1
CP-1234036,all credits at this bank paid back duly, New Car,2325,2,none,Bank,1,1
MP-1747093,all credits at this bank paid back duly,radio/television,1048,4,none,stores,1,1
PJ-19015139,existing credits paid back duly till now,radio/television,3160,4,none,none,1,1
NC-1841593,all credits at this bank paid back duly,furniture/equipment,2483,4,none,stores,1,1
BV-11245120,critical account,furniture/equipment,14179,4,none,none,2,1
LW-1682545,critical account,business,1797,3,none,Bank,2,1
BO-1142545,existing credits paid back duly till now, New Car,2511,1,none,none,1,1
EB-1384059,existing credits paid back duly till now, New Car,1274,3,none,none,1,1
SG-2047031,existing credits paid back duly till now,Used Car,5248,1,none,none,1,1
PO-919586,existing credits paid back duly till now,Used Car,3029,2,none,none,1,1
CS-1184516,existing credits paid back duly till now,furniture/equipment,428,2,none,Bank,1,1
KB-1658548,existing credits paid back duly till now, New Car,976,1,none,none,1,1
EM-1414058,existing credits paid back duly till now,business,841,2,none,none,1,1
KN-1639048,critical account,radio/television,5771,4,none,none,2,1
SL-2015566,delay in paying off in the past,repairs,1555,4,none,none,2,2
CM-1211578,existing credits paid back duly till now, New Car,1285,4,none,none,1,1
GZ-4545108,critical account, New Car,1299,1,none,none,3,2
DK-1298582,critical account,radio/television,1271,3,none,none,2,1
DK-1298558,existing credits paid back duly till now, New Car,1393,2,guarantor,none,1,1
PN-1877527,critical account, New Car,691,4,none,none,2,1
MS-1798058,critical account, New Car,5045,1,none,none,1,1
EH-1412578,critical account,furniture/equipment,2124,4,none,none,2,1
AG-1090045,existing credits paid back duly till now,radio/television,2214,4,none,none,1,1
BS-1159066,critical account, New Car,12680,4,none,none,1,1
BP-11185139,critical account, New Car,2463,4,none,none,2,1
BH-1171039,existing credits paid back duly till now,radio/television,1155,3,guarantor,Bank,2,1
AS-28560,existing credits paid back duly till now,furniture/equipment,3108,2,none,none,1,1
SC-2080058,existing credits paid back duly till now,Used Car,2901,1,none,none,1,1
SV-208157,critical account,furniture/equipment,3617,1,none,none,3,1
MP-1817545,critical account,radio/television,1655,2,none,none,2,1
AS-102251408,existing credits paid back duly till now,Used Car,2812,2,none,none,1,1
TT-114602,critical account,education,8065,3,none,none,2,1
PS-1876048,critical account,Used Car,3275,1,none,none,1,1
RR-1952527,critical account,radio/television,2223,4,none,Bank,2,1
AC-1042027,critical account, New Car,1480,2,none,Bank,3,1
TP-2113082,existing credits paid back duly till now, New Car,1371,4,none,none,1,1
CG-1204092,critical account, New Car,3535,4,none,none,2,1
BG-1103527,existing credits paid back duly till now,radio/television,3509,4,guarantor,none,1,1
CR-12580144,critical account,Used Car,5711,4,none,none,2,1
TR-11325129,existing credits paid back duly till now,repairs,3872,2,none,none,1,1
SC-2044082,critical account,radio/television,4933,2,guarantor,none,2,1
BT-1168027,critical account, New Car,1940,4,none,none,1,1
AS-102251404,all credits paid back duly,retraining,1410,2,none,none,1,1
CC-1237026,existing credits paid back duly till now, New Car,836,4,none,Bank,1,1
DC-1328582,existing credits paid back duly till now,Used Car,6468,1,none,none,1,1
JE-1574531,existing credits paid back duly till now,business,1941,4,none,none,1,1
DB-1321036,existing credits paid back duly till now,radio/television,2675,3,none,none,1,1
LS-1720080,critical account,Used Car,2751,4,none,none,2,2
BE-11335139,delay in paying off in the past,education,6224,4,none,none,1,1
MH-180257,critical account,education,5998,4,none,Bank,1,1
JB-1592548,existing credits paid back duly till now,business,1188,2,none,none,1,2
TW-21025139,existing credits paid back duly till now,Used Car,6313,3,none,none,1,2
GW-1460527,critical account,furniture/equipment,1221,1,none,none,2,1
SC-2072518,existing credits paid back duly till now,furniture/equipment,2892,3,none,none,1,1
LR-1691544,existing credits paid back duly till now,furniture/equipment,3062,4,none,none,1,1
FO-1430545,existing credits paid back duly till now,furniture/equipment,2301,2,none,none,1,1
SV-10815126,existing credits paid back duly till now,Used Car,7511,1,none,none,1,2
JF-1541527,critical account,furniture/equipment,1258,2,none,none,2,1
SS-2014018,delay in paying off in the past, New Car,717,4,none,none,2,1
RP-19855130,existing credits paid back duly till now, New Car,1549,4,none,none,1,1
AB-1006059,critical account,education,1597,4,none,none,2,2
RB-1933082,critical account,radio/television,1795,3,guarantor,Bank,2,1
LW-172157,critical account,furniture/equipment,4272,1,none,none,2,1
AR-1051045,critical account,radio/television,976,4,none,none,2,1
